timestamp,greenhouse_id,sensor_id,temperature_C,humidity_%,co2_ppm
2025-06-01T00:00:00Z,GH1,S1,20.5,52.0,687
2025-06-01T00:00:00Z,GH1,S2,30.5,36.8,527
2025-06-01T00:00:00Z,GH2,S3,26.4,38.7,739
2025-06-01T00:00:00Z,GH2,S4,19.7,47.2,422
2025-06-01T00:00:00Z,GH3,S5,22.6,35.2,605
2025-06-01T00:00:00Z,GH3,S6,22.0,37.1,373
2025-06-01T01:00:00Z,GH1,S1,19.2,39.2,462
2025-06-01T01:00:00Z,GH1,S2,28.5,55.0,546
2025-06-01T01:00:00Z,GH2,S3,21.5,47.7,727
2025-06-01T01:00:00Z,GH2,S4,29.0,55.9,647
2025-06-01T01:00:00Z,GH3,S5,27.8,61.9,575
2025-06-01T01:00:00Z,GH3,S6,21.1,45.8,406
2025-06-01T02:00:00Z,GH1,S1,26.7,38.6,653
2025-06-01T02:00:00Z,GH1,S2,29.1,36.8,521
2025-06-01T02:00:00Z,GH2,S3,25.5,62.2,382
2025-06-01T02:00:00Z,GH2,S4,22.9,48.9,506
2025-06-01T02:00:00Z,GH3,S5,19.2,60.6,584
2025-06-01T02:00:00Z,GH3,S6,27.4,56.7,723
2025-06-01T03:00:00Z,GH1,S1,25.0,37.7,634
2025-06-01T03:00:00Z,GH1,S2,27.9,45.9,381
2025-06-01T03:00:00Z,GH2,S3,25.2,58.9,573
2025-06-01T03:00:00Z,GH2,S4,26.1,63.4,678
2025-06-01T03:00:00Z,GH3,S5,22.2,41.5,644
2025-06-01T03:00:00Z,GH3,S6,22.0,49.8,504
2025-06-01T04:00:00Z,GH1,S1,20.4,46.9,442
2025-06-01T04:00:00Z,GH1,S2,20.8,53.9,402
2025-06-01T04:00:00Z,GH2,S3,27.4,64.7,474
2025-06-01T04:00:00Z,GH2,S4,25.6,61.8,726
2025-06-01T04:00:00Z,GH3,S5,29.5,57.0,637
2025-06-01T04:00:00Z,GH3,S6,27.9,42.0,578
2025-06-01T05:00:00Z,GH1,S1,28.9,54.4,470
2025-06-01T05:00:00Z,GH1,S2,30.8,45.0,610
2025-06-01T05:00:00Z,GH2,S3,22.3,44.9,389
2025-06-01T05:00:00Z,GH2,S4,24.7,42.7,519
2025-06-01T05:00:00Z,GH3,S5,19.5,47.7,438
2025-06-01T05:00:00Z,GH3,S6,23.6,54.1,433
2025-06-01T06:00:00Z,GH1,S1,20.9,45.5,466
2025-06-01T06:00:00Z,GH1,S2,19.0,42.4,475
2025-06-01T06:00:00Z,GH2,S3,28.5,48.4,461
2025-06-01T06:00:00Z,GH2,S4,26.5,58.1,425
2025-06-01T06:00:00Z,GH3,S5,29.1,40.0,356
2025-06-01T06:00:00Z,GH3,S6,26.2,44.4,384
2025-06-01T07:00:00Z,GH1,S1,24.8,37.8,507
2025-06-01T07:00:00Z,GH1,S2,23.6,39.2,452
2025-06-01T07:00:00Z,GH2,S3,29.9,55.7,464
2025-06-01T07:00:00Z,GH2,S4,26.9,49.9,635
2025-06-01T07:00:00Z,GH3,S5,30.3,44.7,506
2025-06-01T07:00:00Z,GH3,S6,18.5,59.8,442
